,id,tweet,clean,sentimen
3140,1605463202770272257,"Apalagi yg Tahayya, vibes nya kaya lagi bulan puasa woii mantap kaleee😭😭semoga world cup selanjutnya udah bisa nonton langsung ke stadionnya ya Allah😭😭😭",apalagi tahayya vibes nya kaya puasa woii mantap kaleee moga world cup nonton langsung stadion allah,1
14229,1604536604269621248,Messi menang jugak World Cup eh. Complete player.   GOAT.,messi menang jugak world cup complete main goat,1
5537,1604852018761564160,"4 edisi terakhir tim dukungan tidak meleset juara semua😝 Best fifa world cup 2010,2014,2022 😍",edisi tim dukung meleset juara best fifa world cup 2010 2014 2022,1
14299,1604536471334985728,hheueheueu messi's last game TRS MENANG WORLD CUP HUAAKKK,hheueheueu messi last game trs menang world cup huaakkk,1
13323,1604538582403756032,setuju bgsttttt best world cup final ever menangis cokkkkk😭😭😭,tuju bgsttttt best world cup final ever menang cokkkkk,1
5512,1604856188906397697,Nikikumbuka 2 kua ata oliver Giroud ana world cup naishia kucheka 2 😁😁 mashabiki wa chipimbii wana matatzo ya akili sanaa  😁😁😅  https://t.co/OGEmZJIHL1,nikikumbuka kua ata oliver giroud ana world cup naishia kucheka mashabiki chipimbii wana matatzo akil sanaa https ogemzjihl1,1
7743,1604707191747137536,"mati2annya timnas argentina untuk leo memenangkan world cup terbayarkan ya kawand,gracias",mati2annya timnas argentina leo menang world cup bayar kawand gracias,1
12003,1604543639841296384,"Beberapa bulan lalu menyaksikan tim Italy yg kembali menjuarai kejurdun voli setelah 24 tahun. Hari ini menyaksikan Argentina yg kembali menjuarai world cup setelah 36 tahun. Seneng deh, tahun 2022-ku bisa dibilang sportieeee.",beberapa saksi tim italia juara kejurdun voli hari saksi argentina juara world cup neng deh 2022 bilang sportieeee,1
7207,1604738715368460288,"@gryffonn @abcdryl @juankarly3 Kureng si gerrard, yang edisi world cup si kalo bisa. Statsnya bagus bagus",gryffonn abcdryl juankarly3 reng gerrard edisi world cup statsnya bagus bagus,1
8215,1604680378513756161,@kevintecc HUHUHUHUUJUHU REMEMBER BACK THEN ON 2012 ROOTING FOR THIS GUY KE SEKOLAH PAKE BATIKBARCA KARNA MESSI SAMPE DIA NGANGKAT PIALA WORLD CUP YA VINNNNNNN NANGISSSSSS GAAAAAAAA HUAAAAA😭😭😭😭😭😭😭😭😭💥,kevintecc huhuhuhuujuhu remember back then 2012 rooting for this guy sekolah pake batikbarca karna messi sampe dia ngangkat piala world cup vinnnnnnn nangissssss gaaaaaaaa huaaaaa,1
8496,1604665345939189761,semua tugas kelompok gue yang ngerjain gapapa gue ikhlas gue lagi baik argentina menang world cup,tugas kelompok ngerjain gapapa ikhlas argentina menang world cup,1
11810,1604545054881632256,Thank you world cup for the best tournament ever dan @ChelseaFC babi epl nak start harap menang la game kali ni lama sangat duk gua ni lahanat,thank world cup for the best tournament ever chelseafc babi epl harap menang game kali duk lahanat,1
11793,1604545184943198209,world cup terpaling banyak kejutan🔥,world cup paling kejut,1
13541,1604538048678854657,"Bertahun-tahun Messi kurang dihargai sama fans Argentina karena dari kecil udah di Barcelona, kalah di final World Cup dan Copa. Maradona dianggap lebih nomor 1 buat fans Argentina. Diego gak depet Olympic sama Copa. Udah saatnya rakyat Argentina kasih perlakuan yang sama ke Leo.",tahun messi harga gemar argentina barcelona kalah final world cup copa maradona anggap nomor gemar argentina ego depet olympic copa udah rakyat argentina kasih laku leo,1
5908,1604824342113964033,@anwaribrahim Alhamdulillah. Dah macam menang world cup hari ini. 3 - 0 👍✅,anwaribrahim alhamdulillah dah menang world cup,1
4204,1605151507417952257,"Apresiasi kepada Lionel Messi yang udah bawa Argentina's World Cup bawa tropi ke 3. Hari ini selasa 20 desember 2022, mereka disambut.  Jadi ingat Pele pemegang 3 tropi piala dunia. Orang-orang keren banget.  Semoga suatu saat bisa lihat Indonesia lolos ke piala dunia, amin.  https://t.co/etZAPgEuon",apresiasi lionel messi bawa argentina world cup bawa tropi hari selasa desember 2022 sambut jadi pele pegang tropi trofi dunia orang orang keren moga lihat indonesia lolos trofi dunia amin https etzapgeuon,1
17365,1604508589405917187,Before world cup start lagi memang dah tahu Argentina akan champion. Kalah dgn Saudi Arabia tu penanda nak champion. Pape pun Mac Allister 💯,before world cup udah argentina champion kalah saudi arabia tanda champion pape mac allister,1
367,1606907043499372549,@Ctrlmemes_ T20 World Cup ka stats dal to zara . . Players ka form aaat ajata rehta hai kambal me ghush kar gyan pelna aasan hai khelna muskil.,ctrlmemes t20 world cup kak stats dal zara players kak form aaat ajata rehta hai kambal ghush kar gyan pelna aasan hai khelna muskil,1
8469,1604666955474284545,"Hebat Ronaldo, Inspirasi pemain terbaik world cup 2022 (Mbappe)",hebat ronaldo inspirasi main baik world cup 2022 mbappe,1
10320,1604559563159924737,"seneng banget hari ini, argentina juara world cup😭",senang argentina juara world cup,1
14150,1604536765120843779,"Timnas Saudi Arabia boleh berbangga dikit, mereka ngalahin World Cup Winner 🤪",timnas saudi arabia bangga ngalahin world cup winner,1
15060,1604533619040534531,"Ngucapin selamat dulu buat qatar. Congrats for holding the best fifa world cup ever, maybe.",ngucapin selamat qatar congrats for holding the best fifa world cup ever maybe,1
13559,1604537996576845825,final world cup terseru yg pernahh w tonton walaupun ngantuk ngantuk terus ada drama sinyalnya ngedet ngedet pas mau goal tpp jujurlyy seru bangett deg degannya juga dapet bgtt btww messi mbappe kerenn bangett,final world cup seru pernahh tonton ngantuk ngantuk drama sinyal ngedet ngedet goal tpp jujurlyy seru bangett deg degan btww messi mbappe kerenn bangett,1
13350,1604538504171573248,Dia ni la hero sebenar untuk Argentina sepanjang world cup ni,dia hero benar argentina world cup,1
3564,1605307819850244097,Cedera awal tahun dibayar sampe semifinal world cup 2022 🥲👏🏻,cedera bayar semifinal world cup 2022,1
13268,1604538744429694976,Match world cup Qatar ini de best sih dari semua final yang uda w tonton,match world cup qatar best sih final tonton,1
10103,1604565206818263040,@CNNIndonesia Hrusnya presiden fifa world cup tidak bsa prancis klah gk jdi juara piala dunia menang adu pinalty bukan menang mutlak krn prancis dri thn ke thn juara brthan piala fifa world cup jdi 2x45menit draw 2-2 tndanya prancis juara brthan piala fifa world cup thn 2022 di qatar bukanklah,cnnindonesia hrusnya presiden fifa world cup bsa prancis klah jdi juara trofi dunia menang adu pinalty menang mutlak prancis dri juara brthan trofi fifa world cup jdi 2x45menit draw tndanya prancis juara brthan trofi fifa world cup 2022 qatar bukanklah,1
13696,1604537690585563139,"Ngikutin messi dari world cup pertamanya 2006, kalah di final world cup 2014, dan di world cup 2022 baru juara now im gonna crying 😭😭😭😭",ngikutin messi world cup pertama 2006 kalah final world cup 2014 world cup 2022 juara now gon crying,1
11225,1604550063434665986,"Piala dunia menegangkan, congratulation Messi, kamu mendapatkan piala World Cup. G.O.A.T (Greatest of All Time) Sepak Bola.",piala dunia tegang congratulation messi trofi world cup greatest all time sepak bola,1
19349,1604474129599459328,Perancis kalo menang keren banget ini 2 world cup berturut turut jadi pemenang,perancis menang keren world cup menang,1
13879,1604537282966753281,"Siapa sangka World Cup yg dibilang terburuk, malah menyediakan pertandingan Final terbaek....",siapa sangka world cup bilang buruk sedia tanding final terbaek,1
1047,1606344967340818432,Next world cup 2026 pemandangan di stadion nya bagus bgt alias nabung sampe 47 windu juga ga akan punya duit buat pergi nonton😍,next world cup 2026 pandang stadion nya bagus alias nabung windu uang pergi nonton,1
7052,1604750926585032704,Argentina mulakan world cup 2022 dengan 36 game winning streak. Takkan tetiba terkejut diorang masuk final? First game kalah dengan Saudi. Tapi bangkit semula. Scripted? Perancis dapat 2 penalti masa final. Scripted jugak? Lol.,argentina mula world cup 2022 game winning streak tak kejut orang masuk final first game kalah saudi tapi bangkit scripted perancis penalti final scripted jugak lol,1
15807,1604530908568047617,Messi deserves lah World cup ni. Takleh nak kata apa performance dia 😂😂,messi deserves world cup takleh performance,1
15117,1604533462559776769,Fuhhhh gila babi siak World Cup final ni,fuhhhh gila babi siak world cup final,1
7614,1604714120179093505,THANK YOU SO MUCH FIFA WORLD CUP! 🥺👏🏻 saatnya kembali fokus skripsian 😭😭,thank you much fifa world cup fokus skripsi,1
14472,1604536150990823424,Gak sia2 jiwa raga ini lelah menonton world cup akhirnyaaa Argentina aaaaaaaa deserveee!,gak sia2 jiwa raga lelah tonton world cup akhirnyaaa argentina aaaaaaaa deserveee,1
