,id,tweet,clean,sentimen
0,1605504793832587264,@sawerapasha Lekin kya Pakistani team India World Cup khelney jayegi. Kahi yeh kaam BCCI ney to nahi karwa Diya just to make Pakistan play in the World Cup akhir hai bhi to billion dollar board or team.,sawerapasha lekin kya pakistani team india world cup khelney jayegi kah yeh kaam bcci ney nahi karwa diya just make pakistan play the world cup hai bhi billion dollar board team,1
1,1605504620003934209,Klub dengan gol terbanyak di World Cup 2022:   18 ⚽️ PSG 🇫🇷 8 ⚽️ Barcelona 🇪🇸 8 ⚽️ Manchester City 🏴󠁧󠁢󠁥󠁮󠁧󠁿 7 ⚽️ AC Milan 🇮🇹 6 ⚽️ Manchester United 🏴󠁧󠁢󠁥󠁮󠁧󠁿 6 ⚽️ Chelsea 🏴󠁧󠁢󠁥󠁮󠁧󠁿 6 ⚽️ Tottenham 🏴󠁧󠁢󠁥󠁮󠁧󠁿  Pemain-pemain PSG mencetak 18 gol di World Cup edisi kali ini 🔥  #FIFAWorldCup  https://t.co/ONOrSWsDiq,klub gol world cup 2022 psg barcelona manchester city mil manchester united chelsea tottenham main main psg cetak gol world cup edisi kali fifaworldcup https onorswsdiq,1
2,1605504311609688064,@RTM_Malaysia negara luar main world cup bukan main ambik siaran langsung time Malaysia main AFF Mitsubishi ni taknak ambik pulak🙄🙄where's your priority??,rtm malaysia negara main world cup main ambik siar langsung time malaysia main aff mitsubishi ambik pulak where your priority,1
3,1605504249755860992,Habis world cup kita layan aff support negara sendiri pulak,habis world cup layan aff dukung negara,1
4,1605504184186310656,"@yaelah97_ @idextratime bahkan jauh sebelum dn aidit,messi sudah diramalkan juara world cup oleh prabu jayabaya",yaelah97 idextratime aidit messi ramal juara world cup prabu jayabaya,1
5,1605503354460839938,MODAL KECIL AJA TETAP DI KASIH JP DI SLOT MANIA SUGAR!  #BETHOKI77 Messi chanyeol Prancis #CekTokoSebelah2 #AwesomeIESF22 Pernah Bobo Di 2023 Pacarku di TXT omg viral Argentina Dosan Grammy LEE JENO BEST BOY Train CONGRATULATIONS RM Bangtan Beef #FIFAWorldCup  Messi's World Cup  https://t.co/ztQxgmFcST,modal kecil aja tetap kasih slot mania sugar bethoki77 messi chanyeol prancis cektokosebelah2 awesomeiesf22 pernah bobo 2023 pacar txt omg viral argentina dos grammy lee jeno best boy train congratulations bangtan beef fifaworldcup messi world cup https ztqxgmfcst,1
6,1605503349201199104,MODAL KECIL AJA TETAP DI KASIH JP DI SLOT MANIA SUGAR!  #BETHOKI77 Messi chanyeol Prancis #CekTokoSebelah2 #AwesomeIESF22 Pernah Bobo Di 2023 Pacarku di TXT omg viral Argentina Dosan Grammy LEE JENO BEST BOY Train CONGRATULATIONS RM Bangtan Beef #FIFAWorldCup  Messi's World Cup  https://t.co/NQv8s8B5jl,modal kecil aja tetap kasih slot mania sugar bethoki77 messi chanyeol prancis cektokosebelah2 awesomeiesf22 pernah bobo 2023 pacar txt omg viral argentina dos grammy lee jeno best boy train congratulations bangtan beef fifaworldcup messi world cup https nqv8s8b5jl,1
7,1605503347972153344,MODAL KECIL AJA TETAP DI KASIH JP DI SLOT MANIA SUGAR!  #BETHOKI77 Messi chanyeol Prancis #CekTokoSebelah2 #AwesomeIESF22 Pernah Bobo Di 2023 Pacarku di TXT omg viral Argentina Dosan Grammy LEE JENO BEST BOY Train CONGRATULATIONS RM Bangtan Beef #FIFAWorldCup  Messi's World Cup  https://t.co/8ZE1mqvde4,modal kecil aja tetap kasih slot mania sugar bethoki77 messi chanyeol prancis cektokosebelah2 awesomeiesf22 pernah bobo 2023 pacar txt omg viral argentina dos grammy lee jeno best boy train congratulations bangtan beef fifaworldcup messi world cup https 8ze1mqvde4,1
8,1605502880911216640,Akhirnya messi bisa menyamai perolehan gelar world cup nya Lord Zaccar,akhir messi sama oleh gelar world cup nya lord zaccar,1
9,1605501894209654785,@advtomiwa Kpele FIFA president 🌚,advtomiwa kpele fifa president,1
10,1605501754941939712,@Dj_Diddyman Iyi mpine ya World Cup ntibaho...🤔,dj diddyman iyi mpine world cup ntibaho,0
11,1605501671089377280,@IndianCricNews world cup 50 over Team 1) Rohit 2) Shikhar 3) Virat 4) Surya 5)Sanju 6) Hardik 7) Jadeja 8) Deepak/Shardul 9) Bumra 10) Kuldeep 11)Arsdeep  And other 1) Chahal 2)Sami 3) Kishan 4) Deepak/Shardul 5)Axar,indiancricnews world cup selesai team rohit shikhar virat surya sanju hardik jadeja deepak shardul bumra kuldeep arsdeep and other chahal sami kishan deepak shardul axar,1
12,1605500889577373697,@maza_10 @nizambakeri Eh2 org bodoh pun nak komen. Atleast jgk bagi bantuan. Lebai2 pas mana? Tgk world cup dikala org banjir. Xpe2 sy faham. Bangang dgn walaun mmg xdpt dipisahkan 🤣🤣🤣🤣,maza 10 nizambakeri eh2 orang bodoh komen atleast jgk bantu lebai2 tgk world cup kala orang banjir xpe2 faham bangang walaun mmg xdpt pisah,1
13,1605500627370487808,"Kebobrokannya selama memimpin Jakarta dibongkar Pak Heru, akhirnya bikin drama jadikan dirinya sbg good boy dan menuduh pemenrintah antikritik!  Bangtan #EraBaruHidupSimpel Train Lee Know Yeontan Ditto Run BTS Vanilla CONGRATULATIONS 7DREAM rgentina's World Cup #CekTokoSebelah2  https://t.co/FuBW9B0VLR",bobrok pimpin jakarta bongkar pak heru bikin drama jadi good boy tuduh pemenrintah antikritik bangtan erabaruhidupsimpel train lee know yeontan ditto run bts vanilla congratulations 7dream rgentina world cup cektokosebelah2 https fubw9b0vlr,1
14,1605500335568523265,"@_Syahrol_ @nizambakeri Mmg padan muka pun. Dah undi pas kemana lebai2 korang tu? Banjir dr sblm 19hb parlimen bersidang, tp pegi tgk world cup? Dah2 walaun bangang. Simpan sikit bongok tu.",syahrol nizambakeri mmg padan muka dah undi lebai2 korang banjir sblm 19hb parlimen sidang pegi tgk world cup dah2 walaun bangang simpan bongok,1
15,1605500196712218624,bias lo siapa di world cup kali ini?,bias world cup kali,1
16,1605499149029322752,Mohamad Sobary akui Anies hanya anak kemarin sore yg bikin proposal pun tak pernah. Gimana bisa Wan Yaman bod0h ini mau jadi presiden Indonesia?!  Bangtan #EraBaruHidupSimpel Train Lee Know Yeontan Ditto Run BTS Vanilla CONGRATULATIONS 7DREAM rgentina's World Cup #CekTokoSebelah2  https://t.co/2H88avv1yz,mohamad sobary aku anies anak kemarin sore bikin proposal gimana wan yaman bod0h presiden indonesia bangtan erabaruhidupsimpel train lee know yeontan ditto run bts vanilla congratulations 7dream rgentina world cup cektokosebelah2 https 2h88avv1yz,1
17,1605498745872736256,Gak terasa ternyata world cup udah selesai 😂,gak world cup selesai,1
18,1605498641573023746,"Seperti Holyfield yg jadikan celaan, remehan dan hinaan orang untuk jdi bahan bakar kalahkan Tyson dan jadi undisputed world champion, demikian Messi yg di ujung karirnya justru menjawab semua bully dgn 3 piala internasional sekaligus, termasuk World Cup   https://t.co/tzWXnElr6c  https://t.co/VNLOBiLQQn",seperti holyfield jadi cela remeh hina orang jdi bahan bakar kalah tyson undisputed world champion messi ujung karirnya bully trofi internasional world cup https tzwxnelr6c https vnlobilqqn,1
19,1605498322264825856,"Efek dari kata-kata manis Anies memang seperti sihir. Manis diucapkan, tapi tujuannya adalah menyengsarakan dan memecah belah.  Bangtan #EraBaruHidupSimpel Train Lee Know Yeontan Ditto Run BTS Vanilla CONGRATULATIONS 7DREAM rgentina's World Cup #CekTokoSebelah2  https://t.co/MyWxnWT8XQ",efek manis anies sihir manis tuju sengsara pecah belah bangtan erabaruhidupsimpel train lee know yeontan ditto run bts vanilla congratulations 7dream rgentina world cup cektokosebelah2 https mywxnwt8xq,1
