photo,foto
utk,untuk
kyknya,sepertinya
yg,yang
over,selesai
dpt,dapat
dapet,dapat
bg,bang
gk,tidak
karna,karena
maen,main
mcm,macam
ni,ini
wlpn,walaupun
ga,tidak
uda,sudah
ler,kawan
gada,tidak ada
apdet,update
disono,di sana
skrg,sekarang
sm,sama
plss,please
selese,selesai
lo,kamu
mending,lebih baik
dah,udah
gw,saya
bgtt,sekali
bgt,sekali
gak,tidak
games,permainan
cuma,hanya
celebrate,merayakan
tu,itu
taun,tahun
kagak,tidak
tau,tahu
match,pertandingan
btw,oh ya
ngerti,mengerti
ketolong,tertolong
min,admin
koq,kok
and,dan
preparation,persiapan
gua,saya
gue,saya
timeline,linimasa
dg,dengan
mesti,harus
tido,tidak
tbh,sejujurnya
season,musim
kalo,kalau
apa2an,apa-apaan
fav,kesukaan
kayaknya,sepertinya
issue,isu
etc.,dan lain sebagainya
ignorance,ketidakpedulian
gegara,gara-gara
seringg,sering
bangettt,sekali
ngeliat,melihat
jg,juga
kuruss,kurus
pas,ketika
wamil,wajib militer
pokokna,pokoknya
invite,mengundang
tengok,lihat
guna,untuk
invest,investasi
tetiba,tiba-tiba
song,lagu
originally,asli
nak,hendak
player,pemain
import,impor
main2,main-main
seneng,senang
bareng,bersama
abis,habis
dijadiin,dijadikan
dikasih,diberikan
ngomel,marah
mah,itu
b aja,biasa saja
dengerin,dengar
dipake,dipakai
kerasa,terasa
dulu,dahulu
njing,anjing
je,aja
twitt,tweet
yaa,ya
kayanya,kayaknya
di cat,dicat
gpp,gapapa
nanem,tanam
ama,sama
anjeng,anjing
ligue,liga
taon,tahun
"pura""",pura pura
flexing,pamer
host,tuan rumah
next,selanjutnya
crush,gebetan
sebab,karena
excited,tertarik
culture,budaya
lepas,setelah
start,mulai
tp,tapi
ending,akhir
kalomasih,kalau masih
need,butuh
org,orang
kl,kalau
jor2 an,jorjoran
tak,tidak
dgn,dengan
abis2,habis-habis
tgl,tanggal
jgn,jangan
lau,kamu
argen,argentina
twit,tweet
twitnya,tweetnya
manopun,manapun
effortnyo,usahanya
dusah,susah
krn,karena
ngga,tidak
ssn,musim
mayan,lumayan
new face,wajah baru
wktu,waktu
pd,pada
trophy,trofi
runner-up,juara kedua
runner up,juara kedua
penalty,penalti
satu2,satu satu
di pake,dipake
